ad,tip,enlem,boylam,mahalle,adres,sorgular,kaynak
Kariye Şehir Parkı,toplanma_alani,,,Derviş Ali Mh.,Karıye Bostanı Sk.,"Kariye Şehir Parkı, Karıye Bostanı Sk., Derviş Ali Mh., Fatih, İstanbul||Kariye Şehir Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kemikliburun Parkı,toplanma_alani,,,Mevlanakapı Mh.,Kemikliburun Sk.,"Kemikliburun Parkı, Kemikliburun Sk., Mevlanakapı Mh., Fatih, İstanbul||Kemikliburun Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Keyci Hatun Parkı,toplanma_alani,,,Cerrahpaşa Mh.,Haseki Kadın Sk.,"Keyci Hatun Parkı, Haseki Kadın Sk., Cerrahpaşa Mh., Fatih, İstanbul||Keyci Hatun Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kocamustafapaşa Meydanı,toplanma_alani,,,Silivrikapı Mh.,Kuvayi Milliye Cad.,"Kocamustafapaşa Meydanı, Kuvayi Milliye Cad., Silivrikapı Mh., Fatih, İstanbul||Kocamustafapaşa Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kocamustafapaşa Semt Parkı,toplanma_alani,,,Silivrikapı Mh.,Şehit Turan Topal Sk.,"Kocamustafapaşa Semt Parkı, Şehit Turan Topal Sk., Silivrikapı Mh., Fatih, İstanbul||Kocamustafapaşa Semt Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Koyunbaba Parkı,toplanma_alani,,,Akşemsettin Mh.,Mütercim Asım Cad.,"Koyunbaba Parkı, Mütercim Asım Cad., Akşemsettin Mh., Fatih, İstanbul||Koyunbaba Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kurtağa Parkı,toplanma_alani,,,Derviş Ali Mh.,Kurtağa Çeşmesi Sk.,"Kurtağa Parkı, Kurtağa Çeşmesi Sk., Derviş Ali Mh., Fatih, İstanbul||Kurtağa Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Küçük Mustafapaşa Parkı,toplanma_alani,,,Yavuz Sultan Selim Mh.,Kalaycı Sk.,"Küçük Mustafapaşa Parkı, Kalaycı Sk., Yavuz Sultan Selim Mh., Fatih, İstanbul||Küçük Mustafapaşa Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Kırımlı Parkı,toplanma_alani,,,Mevlanakapı Mh.,Simkeş Cami Sk.,"Kırımlı Parkı, Simkeş Cami Sk., Mevlanakapı Mh., Fatih, İstanbul||Kırımlı Parkı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
Mahmut Celalettin Ökten Meydanı,toplanma_alani,,,Ayvansaray Mh.,Püsküllü Cad.,"Mahmut Celalettin Ökten Meydanı, Püsküllü Cad., Ayvansaray Mh., Fatih, İstanbul||Mahmut Celalettin Ökten Meydanı, Fatih, İstanbul",Fatih Belediyesi (2019 resmî liste)
